A00	Cholera
I62.1	Nontraumatic extradural haemorrhage
I62.9	Intracranial haemorrhage (nontraumatic), unspecified
I63.0	Cerebral infarction due to thrombosis of precerebral arteries
I63.00	Cerebral infarction due to thrombosis of unspecified precerebral artery (non-NHS term)
I63.01	Cerebral infarction due to thrombosis of vertebral artery (non-NHS term)
I63.011	Cerebral infarction due to thrombosis of right vertebral artery (non-NHS term)
I63.012	Cerebral infarction due to thrombosis of left vertebral artery (non-NHS term)
I63.019	Cerebral infarction due to thrombosis of unspecified vertebral artery (non-NHS term)
I63.02	Cerebral infarction due to thrombosis of basilar artery (non-NHS term)
I63.03	Cerebral infarction due to thrombosis of carotid artery (non-NHS term)
I63.031	Cerebral infarction due to thrombosis of right carotid artery (non-NHS term)
I63.032	Cerebral infarction due to thrombosis of left carotid artery (non-NHS term)
I63.039	Cerebral infarction due to thrombosis of unspecified carotid artery (non-NHS term)
I63.09	Cerebral infarction due to thrombosis of other precerebral artery (non-NHS term)
I63.1	Cerebral infarction due to embolism of precerebral arteries
I63.10	Cerebral infarction due to embolism of unspecified precerebral artery (non-NHS term)
I63.11	Cerebral infarction due to embolism of vertebral artery (non-NHS term)
I63.111	Cerebral infarction due to embolism of right vertebral artery (non-NHS term)
I63.112	Cerebral infarction due to embolism of left vertebral artery (non-NHS term)
I63.119	Cerebral infarction due to embolism of unspecified vertebral artery (non-NHS term)
I63.12	Cerebral infarction due to embolism of basilar artery (non-NHS term)
I63.13	Cerebral infarction due to embolism of carotid artery (non-NHS term)
I63.131	Cerebral infarction due to embolism of right carotid artery (non-NHS term)
I63.132	Cerebral infarction due to embolism of left carotid artery (non-NHS term)
I63.139	Cerebral infarction due to embolism of unspecified carotid artery (non-NHS term)
I63.19	Cerebral infarction due to embolism of other precerebral artery (non-NHS term)
I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I63.20	Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries (non-NHS term)
I63.21	Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries (non-NHS term)
I63.211	Cerebral infarction due to unspecified occlusion or stenosis of right vertebral arteries (non-NHS term)
I63.212	Cerebral infarction due to unspecified occlusion or stenosis of left vertebral arteries (non-NHS term)
I63.219	Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral arteries (non-NHS term)
I63.22	Cerebral infarction due to unspecified occlusion or stenosis of basilar arteries (non-NHS term)
I63.23	Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries (non-NHS term)
I63.231	Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries (non-NHS term)
I63.232	Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries (non-NHS term)
I63.239	Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid arteries (non-NHS term)
I63.29	Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries (non-NHS term)
I63.3	Cerebral infarction due to thrombosis of cerebral arteries
I63.30	Cerebral infarction due to thrombosis of unspecified cerebral artery (non-NHS term)
I63.31	Cerebral infarction due to thrombosis of middle cerebral artery (non-NHS term)
I63.311	Cerebral infarction due to thrombosis of right middle cerebral artery (non-NHS term)
I63.312	Cerebral infarction due to thrombosis of left middle cerebral artery (non-NHS term)
I63.319	Cerebral infarction due to thrombosis of unspecified middle cerebral artery (non-NHS term)
I63.32	Cerebral infarction due to thrombosis of anterior cerebral artery (non-NHS term)
I63.321	Cerebral infarction due to thrombosis of right anterior cerebral artery (non-NHS term)
I63.322	Cerebral infarction due to thrombosis of left anterior cerebral artery (non-NHS term)
I63.329	Cerebral infarction due to thrombosis of unspecified anterior cerebral artery (non-NHS term)
I63.33	Cerebral infarction due to thrombosis of posterior cerebral artery (non-NHS term)
I63.331	Cerebral infarction due to thrombosis of right posterior cerebral artery (non-NHS term)
I63.332	Cerebral infarction due to thrombosis of left posterior cerebral artery (non-NHS term)
I63.339	Cerebral infarction due to thrombosis of unspecified posterior cerebral artery (non-NHS term)
I63.34	Cerebral infarction due to thrombosis of cerebellar artery (non-NHS term)
I63.341	Cerebral infarction due to thrombosis of right cerebellar artery (non-NHS term)
I63.342	Cerebral infarction due to thrombosis of left cerebellar artery (non-NHS term)
I63.349	Cerebral infarction due to thrombosis of unspecified cerebellar artery (non-NHS term)
I63.39	Cerebral infarction due to thrombosis of other cerebral artery (non-NHS term)
I63.4	Cerebral infarction due to embolism of cerebral arteries
I63.40	Cerebral infarction due to embolism of unspecified cerebral artery (non-NHS term)
I63.41	Cerebral infarction due to embolism of middle cerebral artery (non-NHS term)
I63.411	Cerebral infarction due to embolism of right middle cerebral artery (non-NHS term)
I63.412	Cerebral infarction due to embolism of left middle cerebral artery (non-NHS term)
I63.419	Cerebral infarction due to embolism of unspecified middle cerebral artery (non-NHS term)
I63.42	Cerebral infarction due to embolism of anterior cerebral artery (non-NHS term)
I63.421	Cerebral infarction due to embolism of right anterior cerebral artery (non-NHS term)
I63.422	Cerebral infarction due to embolism of left anterior cerebral artery (non-NHS term)
I63.429	Cerebral infarction due to embolism of unspecified anterior cerebral artery (non-NHS term)
I63.43	Cerebral infarction due to embolism of posterior cerebral artery (non-NHS term)
I63.431	Cerebral infarction due to embolism of right posterior cerebral artery (non-NHS term)
I63.432	Cerebral infarction due to embolism of left posterior cerebral artery (non-NHS term)
I63.439	Cerebral infarction due to embolism of unspecified posterior cerebral artery (non-NHS term)
I63.44	Cerebral infarction due to embolism of cerebellar artery (non-NHS term)
I63.441	Cerebral infarction due to embolism of right cerebellar artery (non-NHS term)
I63.442	Cerebral infarction due to embolism of left cerebellar artery (non-NHS term)
I63.449	Cerebral infarction due to embolism of unspecified cerebellar artery (non-NHS term)
I63.49	Cerebral infarction due to embolism of other cerebral artery (non-NHS term)
I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I63.50	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery (non-NHS term)
I63.51	Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery (non-NHS term)
I63.511	Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery (non-NHS term)
I63.512	Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery (non-NHS term)
I63.519	Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery (non-NHS term)
I63.52	Cerebral infarction due to unspecified occlusion or stenosis of anterior cerebral artery (non-NHS term)
I63.521	Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery (non-NHS term)
I63.522	Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery (non-NHS term)
I63.529	Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery (non-NHS term)
I63.53	Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery (non-NHS term)
I63.531	Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery (non-NHS term)
I63.532	Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery (non-NHS term)
I63.539	Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery (non-NHS term)
I63.54	Cerebral infarction due to unspecified occlusion or stenosis of cerebellar artery (non-NHS term)
I63.541	Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery (non-NHS term)
I63.542	Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery (non-NHS term)
I63.549	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery (non-NHS term)
I63.59	Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery (non-NHS term)
I63.6	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic
I63.8	Other cerebral infarction
I63.9	Cerebral infarction, unspecified
I64	Stroke, not specified as haemorrhage or infarction (non-NHS term)
I65.0	Occlusion and stenosis of vertebral artery
I65.01	Occlusion and stenosis of right vertebral artery (non-NHS term)
I65.02	Occlusion and stenosis of left vertebral artery (non-NHS term)
I65.03	Occlusion and stenosis of bilateral vertebral arteries (non-NHS term)
I65.09	Occlusion and stenosis of unspecified vertebral artery (non-NHS term)
I65.1	Occlusion and stenosis of basilar artery
I65.2	Occlusion and stenosis of carotid artery
I65.21	Occlusion and stenosis of right carotid artery (non-NHS term)
I65.22	Occlusion and stenosis of left carotid artery (non-NHS term)
I65.23	Occlusion and stenosis of bilateral carotid arteries (non-NHS term)
I65.29	Occlusion and stenosis of unspecified carotid artery (non-NHS term)
I65.3	Occlusion and stenosis of multiple and bilateral precerebral arteries
I65.8	Occlusion and stenosis of other precerebral artery
I65.9	Occlusion and stenosis of unspecified precerebral artery
I66.0	Occlusion and stenosis of middle cerebral artery
I66.01	Occlusion and stenosis of right middle cerebral artery (non-NHS term)
I66.02	Occlusion and stenosis of left middle cerebral artery (non-NHS term)
I66.03	Occlusion and stenosis of bilateral middle cerebral arteries (non-NHS term)
I66.09	Occlusion and stenosis of unspecified middle cerebral artery (non-NHS term)
I66.1	Occlusion and stenosis of anterior cerebral artery
I66.11	Occlusion and stenosis of right anterior cerebral artery (non-NHS term)
I66.12	Occlusion and stenosis of left anterior cerebral artery (non-NHS term)
I66.13	Occlusion and stenosis of bilateral anterior cerebral arteries (non-NHS term)
I66.19	Occlusion and stenosis of unspecified anterior cerebral artery (non-NHS term)
I66.2	Occlusion and stenosis of posterior cerebral artery
I66.21	Occlusion and stenosis of right posterior cerebral artery (non-NHS term)
I66.22	Occlusion and stenosis of left posterior cerebral artery (non-NHS term)
I66.23	Occlusion and stenosis of bilateral posterior cerebral arteries (non-NHS term)
I66.29	Occlusion and stenosis of unspecified posterior cerebral artery (non-NHS term)
I66.3	Occlusion and stenosis of cerebellar arteries
I66.4	Occlusion and stenosis of multiple and bilateral cerebral arteries
I66.8	Occlusion and stenosis of other cerebral artery
I66.9	Occlusion and stenosis of unspecified cerebral artery
I67.0	Dissection of cerebral arteries, nonruptured
I67.1	Cerebral aneurysm, nonruptured
I67.2	Cerebral atherosclerosis
I67.3	Progressive vascular leukoencephalopathy
I67.4	Hypertensive encephalopathy
I67.5	Moyamoya disease
I67.6	Nonpyogenic thrombosis of intracranial venous system
I67.7	Cerebral arteritis, not elsewhere classified
I67.8	Other specified cerebrovascular diseases
I67.81	Acute cerebrovascular insufficiency (non-NHS term)
I67.82	Cerebral ischemia (non-NHS term)
I67.83	Posterior reversible encephalopathy syndrome (non-NHS term)
I67.84	Cerebral vasospasm and vasoconstriction (non-NHS term)
I67.841	Reversible cerebrovascular vasoconstriction syndrome (non-NHS term)
I67.848	Other cerebrovascular vasospasm and vasoconstriction (non-NHS term)
I67.89	Other cerebrovascular disease (non-NHS term)
I67.9	Cerebrovascular disease, unspecified
I68.0	Cerebral amyloid angiopathy
I68.1	Cerebral arteritis in infectious and parasitic diseases classified elsewhere
I68.2	Cerebral arteritis in other diseases classified elsewhere
I68.8	Other cerebrovascular disorders in diseases classified elsewhere
I69.0	Sequelae of subarachnoid haemorrhage
I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.01	Cognitive deficits following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.02	Speech and language deficits following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.020	Aphasia following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.03	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side (non-NHS term)
I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side (non-NHS term)
I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side (non-NHS term)
I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side (non-NHS term)
I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side (non-NHS term)
I69.04	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side (non-NHS term)
I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side (non-NHS term)
I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side (non-NHS term)
I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side (non-NHS term)
I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side (non-NHS term)
I69.05	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side (non-NHS term)
I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side (non-NHS term)
I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side (non-NHS term)
I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side (non-NHS term)
I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side (non-NHS term)
I69.06	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side (non-NHS term)
I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side (non-NHS term)
I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side (non-NHS term)
I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side (non-NHS term)
I69.065	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral (non-NHS term)
I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side (non-NHS term)
I69.09	Other sequelae of nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.090	Apraxia following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.093	Ataxia following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage (non-NHS term)
I69.1	Sequelae of intracerebral haemorrhage
I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage (non-NHS term)
I69.11	Cognitive deficits following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.12	Speech and language deficits following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.120	Aphasia following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.121	Dysphasia following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.122	Dysarthria following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.13	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side (non-NHS term)
I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side (non-NHS term)
I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side (non-NHS term)
I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side (non-NHS term)
I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side (non-NHS term)
I69.14	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side (non-NHS term)
I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side (non-NHS term)
I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side (non-NHS term)
I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side (non-NHS term)
I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side (non-NHS term)
I69.15	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side (non-NHS term)
I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side (non-NHS term)
I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side (non-NHS term)
I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side (non-NHS term)
I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side (non-NHS term)
I69.16	Other paralytic syndrome following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side (non-NHS term)
I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side (non-NHS term)
I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side (non-NHS term)
I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side (non-NHS term)
I69.165	Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral (non-NHS term)
I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side (non-NHS term)
I69.19	Other sequelae of nontraumatic intracerebral hemorrhage (non-NHS term)
I69.190	Apraxia following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.191	Dysphagia following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.192	Facial weakness following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.193	Ataxia following nontraumatic intracerebral hemorrhage (non-NHS term)
I69.198	Other sequelae of nontraumatic intracerebral hemorrhage (non-NHS term)
I69.2	Sequelae of other nontraumatic intracranial haemorrhage
I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage (non-NHS term)
I69.21	Cognitive deficits following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.22	Speech and language deficits following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.220	Aphasia following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.221	Dysphasia following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.222	Dysarthria following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.23	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side (non-NHS term)
I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side (non-NHS term)
I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side (non-NHS term)
I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side (non-NHS term)
I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side (non-NHS term)
I69.24	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side (non-NHS term)
I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side (non-NHS term)
I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side (non-NHS term)
I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side (non-NHS term)
I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side (non-NHS term)
I69.25	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side (non-NHS term)
I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side (non-NHS term)
I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side (non-NHS term)
I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side (non-NHS term)
I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side (non-NHS term)
I69.26	Other paralytic syndrome following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side (non-NHS term)
I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side (non-NHS term)
I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side (non-NHS term)
I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side (non-NHS term)
I69.265	Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral (non-NHS term)
I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side (non-NHS term)
I69.29	Other sequelae of other nontraumatic intracranial hemorrhage (non-NHS term)
I69.290	Apraxia following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.291	Dysphagia following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.292	Facial weakness following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.293	Ataxia following other nontraumatic intracranial hemorrhage (non-NHS term)
I69.298	Other sequelae of other nontraumatic intracranial hemorrhage (non-NHS term)
I69.3	Sequelae of cerebral infarction
I69.30	Unspecified sequelae of cerebral infarction (non-NHS term)
I69.31	Cognitive deficits following cerebral infarction (non-NHS term)
I69.32	Speech and language deficits following cerebral infarction (non-NHS term)
I69.320	Aphasia following cerebral infarction (non-NHS term)
I69.321	Dysphasia following cerebral infarction (non-NHS term)
I69.322	Dysarthria following cerebral infarction (non-NHS term)
I69.323	Fluency disorder following cerebral infarction (non-NHS term)
I69.328	Other speech and language deficits following cerebral infarction (non-NHS term)
I69.33	Monoplegia of upper limb following cerebral infarction (non-NHS term)
I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side (non-NHS term)
I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side (non-NHS term)
I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side (non-NHS term)
I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side (non-NHS term)
I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side (non-NHS term)
I69.34	Monoplegia of lower limb following cerebral infarction (non-NHS term)
I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side (non-NHS term)
I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side (non-NHS term)
I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side (non-NHS term)
I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side (non-NHS term)
I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side (non-NHS term)
I69.35	Hemiplegia and hemiparesis following cerebral infarction (non-NHS term)
I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side (non-NHS term)
I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side (non-NHS term)
I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side (non-NHS term)
I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side (non-NHS term)
I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side (non-NHS term)
I69.36	Other paralytic syndrome following cerebral infarction (non-NHS term)
I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side (non-NHS term)
I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side (non-NHS term)
I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side (non-NHS term)
I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side (non-NHS term)
I69.365	Other paralytic syndrome following cerebral infarction, bilateral (non-NHS term)
I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side (non-NHS term)
I69.39	Other sequelae of cerebral infarction (non-NHS term)
I69.390	Apraxia following cerebral infarction (non-NHS term)
I69.391	Dysphagia following cerebral infarction (non-NHS term)
I69.392	Facial weakness following cerebral infarction (non-NHS term)
I69.393	Ataxia following cerebral infarction (non-NHS term)
I69.398	Other sequelae of cerebral infarction (non-NHS term)
I69.4	Sequelae of stroke, not specified as haemorrhage or infarction
I69.8	Sequelae of other and unspecified cerebrovascular diseases
I69.80	Unspecified sequelae of other cerebrovascular disease (non-NHS term)
I69.81	Cognitive deficits following other cerebrovascular disease (non-NHS term)
I69.82	Speech and language deficits following other cerebrovascular disease (non-NHS term)
I69.820	Aphasia following other cerebrovascular disease (non-NHS term)
I69.821	Dysphasia following other cerebrovascular disease (non-NHS term)
I69.822	Dysarthria following other cerebrovascular disease (non-NHS term)
I69.823	Fluency disorder following other cerebrovascular disease (non-NHS term)
I69.828	Other speech and language deficits following other cerebrovascular disease (non-NHS term)
I69.83	Monoplegia of upper limb following other cerebrovascular disease (non-NHS term)
I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side (non-NHS term)
I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side (non-NHS term)
I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side (non-NHS term)
I69.84	Monoplegia of lower limb following other cerebrovascular disease (non-NHS term)
I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side (non-NHS term)
I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side (non-NHS term)
I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side (non-NHS term)
I69.85	Hemiplegia and hemiparesis following other cerebrovascular disease (non-NHS term)
I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side (non-NHS term)
I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side (non-NHS term)
I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side (non-NHS term)
I69.86	Other paralytic syndrome following other cerebrovascular disease (non-NHS term)
I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side (non-NHS term)
I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side (non-NHS term)
I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side (non-NHS term)
I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side (non-NHS term)
I69.865	Other paralytic syndrome following other cerebrovascular disease, bilateral (non-NHS term)
I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side (non-NHS term)
I69.89	Other sequelae of other cerebrovascular disease (non-NHS term)
I69.890	Apraxia following other cerebrovascular disease (non-NHS term)
I69.891	Dysphagia following other cerebrovascular disease (non-NHS term)
I69.892	Facial weakness following other cerebrovascular disease (non-NHS term)
I69.893	Ataxia following other cerebrovascular disease (non-NHS term)
